Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 1,Toán,Học kỳ 2,"8. Phép cộng, phép trừ (không nhớ) trong phạm vi 100",Kéo thả,2 - 2 = ___,0 | 1 | -1,0,Kéo số 0 vào chỗ trống.
Lớp 1,Toán,Học kỳ 2,6. Các số đến 100,Đúng/Sai,"Phép tính 13 - 9 = 7, đúng hay sai?",,Sai,Phép tính chính xác là 13 - 9 = 4.
Lớp 1,Toán,Học kỳ 1,4. Làm quen với một số hình khối,Điền khuyết,4 + ___ = 13,,9,Số cần điền là 9 vì 4 + 9 = 13.
Lớp 1,Toán,Học kỳ 1,"3. Phép cộng, phép trừ trong phạm vi 10",Điền khuyết,8 - ___ = 3,,5,Số cần điền là 5 vì 8 - 5 = 3.
Lớp 1,Toán,Học kỳ 1,5. Ôn tập Học kì 1,Kéo thả,8 + 5 = ___,13 | 14 | 12,13,Kéo số 13 vào chỗ trống.
Lớp 1,Toán,Học kỳ 1,1. Các số từ 0 đến 10,Đúng/Sai,"Phép tính 5 + 7 = 12, đúng hay sai?",,Đúng,Phép tính chính xác là 5 + 7 = 12.
Lớp 1,Toán,Học kỳ 2,10. Ôn tập cuối năm,Đúng/Sai,"Phép tính 7 - 6 = 1, đúng hay sai?",,Đúng,Phép tính chính xác là 7 - 6 = 1.
Lớp 1,Toán,Học kỳ 2,10. Ôn tập cuối năm,Chuỗi Quy luật,"5, 9, 13, ___, 21",,17,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 1,Toán,Học kỳ 1,4. Làm quen với một số hình khối,Trắc nghiệm,Kết quả của phép tính 12 - 10 là bao nhiêu?,-3 | 2 | 12 | 4,2,Ta có: 12 - 10 = 2.
Lớp 1,Toán,Học kỳ 1,"3. Phép cộng, phép trừ trong phạm vi 10",Đúng/Sai,"Phép tính 7 + 9 = 16, đúng hay sai?",,Đúng,Phép tính chính xác là 7 + 9 = 16.
Lớp 1,Toán,Học kỳ 1,2. Làm quen với một số hình phẳng,Điền khuyết,3 + ___ = 9,,6,Số cần điền là 6 vì 3 + 6 = 9.
Lớp 1,Toán,Học kỳ 1,"3. Phép cộng, phép trừ trong phạm vi 10",So sánh,"Điền dấu thích hợp (<, >, =): 16 - 5 ___ 17 + 14",,<,16 - 5 = 11; 17 + 14 = 31. Nên dấu là <.
Lớp 1,Toán,Học kỳ 1,5. Ôn tập Học kì 1,Điền khuyết,8 - ___ = 3,,5,Số cần điền là 5 vì 8 - 5 = 3.
Lớp 1,Toán,Học kỳ 1,"3. Phép cộng, phép trừ trong phạm vi 10",Đúng/Sai,"Phép tính 13 - 9 = 4, đúng hay sai?",,Đúng,Phép tính chính xác là 13 - 9 = 4.
Lớp 1,Toán,Học kỳ 2,9. Thời gian. Giờ và lịch,Đúng/Sai,"Phép tính 5 + 6 = 13, đúng hay sai?",,Sai,Phép tính chính xác là 5 + 6 = 11.
Lớp 1,Toán,Học kỳ 1,1. Các số từ 0 đến 10,Điền khuyết,8 - ___ = 7,,1,Số cần điền là 1 vì 8 - 1 = 7.
Lớp 1,Toán,Học kỳ 1,2. Làm quen với một số hình phẳng,Trắc nghiệm,Kết quả của phép tính 17 - 5 là bao nhiêu?,12 | 14 | 22 | 7,12,Ta có: 17 - 5 = 12.
Lớp 1,Toán,Học kỳ 1,"3. Phép cộng, phép trừ trong phạm vi 10",Trắc nghiệm,Kết quả của phép tính 3 + 14 là bao nhiêu?,16 | 17 | 27 | 20,17,Ta có: 3 + 14 = 17.
Lớp 1,Toán,Học kỳ 1,2. Làm quen với một số hình phẳng,Trắc nghiệm,Kết quả của phép tính 20 + 18 là bao nhiêu?,48 | 34 | 43 | 38,38,Ta có: 20 + 18 = 38.
Lớp 1,Toán,Học kỳ 1,2. Làm quen với một số hình phẳng,So sánh,"Điền dấu thích hợp (<, >, =): 8 + 1 ___ 9 + 4",,<,8 + 1 = 9; 9 + 4 = 13. Nên dấu là <.
Lớp 1,Toán,Học kỳ 1,1. Các số từ 0 đến 10,Đúng/Sai,"Phép tính 9 - 7 = 3, đúng hay sai?",,Sai,Phép tính chính xác là 9 - 7 = 2.
Lớp 1,Toán,Học kỳ 1,2. Làm quen với một số hình phẳng,Trắc nghiệm,Kết quả của phép tính 8 - 1 là bao nhiêu?,8 | 17 | 6 | 7,7,Ta có: 8 - 1 = 7.
Lớp 1,Toán,Học kỳ 2,9. Thời gian. Giờ và lịch,Điền khuyết,5 + ___ = 10,,5,Số cần điền là 5 vì 5 + 5 = 10.
Lớp 1,Toán,Học kỳ 2,7. Độ dài và Đo độ dài,Trắc nghiệm,Kết quả của phép tính 7 - 3 là bao nhiêu?,3 | 4 | 5 | 14,4,Ta có: 7 - 3 = 4.
Lớp 1,Toán,Học kỳ 2,10. Ôn tập cuối năm,Kéo thả,19 + 3 = ___,22 | 23 | 21,22,Kéo số 22 vào chỗ trống.
Lớp 1,Toán,Học kỳ 1,"3. Phép cộng, phép trừ trong phạm vi 10",So sánh,"Điền dấu thích hợp (<, >, =): 17 - 4 ___ 18 + 12",,<,17 - 4 = 13; 18 + 12 = 30. Nên dấu là <.
Lớp 1,Toán,Học kỳ 1,4. Làm quen với một số hình khối,Đúng/Sai,"Phép tính 9 + 5 = 16, đúng hay sai?",,Sai,Phép tính chính xác là 9 + 5 = 14.
Lớp 1,Toán,Học kỳ 1,5. Ôn tập Học kì 1,Chuỗi Quy luật,"7, 10, 13, ___, 19",,16,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 1,Toán,Học kỳ 2,6. Các số đến 100,Đúng/Sai,"Phép tính 20 - 8 = 12, đúng hay sai?",,Đúng,Phép tính chính xác là 20 - 8 = 12.
