Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 4,Tiếng Việt,Học kỳ 1,3. Niềm vui sáng tạo,Kéo thả,Kéo từ 'đất nước' vào ô thích hợp: Em rất yêu ___ của mình.,đất nước | cục đá | bão táp,đất nước,Phù hợp ngữ cảnh.
Lớp 4,Tiếng Việt,Học kỳ 1,4. Chắp cánh ước mơ,Kéo thả,Kéo từ 'cây xanh' vào ô thích hợp: Em rất yêu ___ của mình.,cây xanh | cục đá | bão táp,cây xanh,Phù hợp ngữ cảnh.
Lớp 4,Tiếng Việt,Học kỳ 2,6. Uống nước nhớ nguồn,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 4,Tiếng Việt,Học kỳ 1,2. Trải nghiệm và khám phá,Trắc nghiệm,Từ nào đồng nghĩa với từ 'biển cả'?,núi non | lười biếng | độc ác | phá hoại,núi non,'núi non' và 'biển cả' có nghĩa gần giống nhau.
Lớp 4,Tiếng Việt,Học kỳ 2,8. Vì một thế giới bình yên,Kéo thả,Kéo từ 'quê hương' vào ô thích hợp: Em rất yêu ___ của mình.,quê hương | cục đá | bão táp,quê hương,Phù hợp ngữ cảnh.
Lớp 4,Tiếng Việt,Học kỳ 1,4. Chắp cánh ước mơ,Đúng/Sai,"Từ 'núi non' là một từ ghép, đúng hay sai?",,Đúng,Từ ghép gồm các tiếng có nghĩa.
Lớp 4,Tiếng Việt,Học kỳ 1,1. Mỗi người một vẻ,Đúng/Sai,"Từ 'ngôi trường' là một từ ghép, đúng hay sai?",,Đúng,Từ ghép gồm các tiếng có nghĩa.
Lớp 4,Tiếng Việt,Học kỳ 2,8. Vì một thế giới bình yên,Kéo thả,Kéo từ 'ngôi trường' vào ô thích hợp: Em rất yêu ___ của mình.,ngôi trường | cục đá | bão táp,ngôi trường,Phù hợp ngữ cảnh.
Lớp 4,Tiếng Việt,Học kỳ 2,5. Sống để yêu thương,Kéo thả,Kéo từ 'tiến bộ' vào ô thích hợp: Em rất yêu ___ của mình.,tiến bộ | cục đá | bão táp,tiến bộ,Phù hợp ngữ cảnh.
Lớp 4,Tiếng Việt,Học kỳ 2,8. Vì một thế giới bình yên,Đúng/Sai,"Từ 'chăm chỉ' là một từ ghép, đúng hay sai?",,Đúng,Từ ghép gồm các tiếng có nghĩa.
Lớp 4,Tiếng Việt,Học kỳ 2,8. Vì một thế giới bình yên,Trắc nghiệm,Câu tục ngữ 'Uống nước nhớ nguồn' khuyên chúng ta điều gì?,Biết ơn người đi trước | Lười biếng | Ích kỷ | Vô ơn,Biết ơn người đi trước,Ý nghĩa: Biết ơn người đi trước.
Lớp 4,Tiếng Việt,Học kỳ 2,8. Vì một thế giới bình yên,Đúng/Sai,"Thành phần chủ ngữ trong câu 'Hôm nay, bạn bè rất đẹp' là 'Hôm nay', đúng hay sai?",,Sai,"Chủ ngữ là '{word}', 'Hôm nay' là trạng ngữ."
Lớp 4,Tiếng Việt,Học kỳ 1,4. Chắp cánh ước mơ,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 4,Tiếng Việt,Học kỳ 2,8. Vì một thế giới bình yên,Đúng/Sai,"Từ 'lớp học' là một từ ghép, đúng hay sai?",,Đúng,Từ ghép gồm các tiếng có nghĩa.
Lớp 4,Tiếng Việt,Học kỳ 1,1. Mỗi người một vẻ,Trắc nghiệm,Từ nào đồng nghĩa với từ 'phát triển'?,tự hào | lười biếng | độc ác | phá hoại,tự hào,'tự hào' và 'phát triển' có nghĩa gần giống nhau.
Lớp 4,Tiếng Việt,Học kỳ 1,1. Mỗi người một vẻ,Trắc nghiệm,Từ nào đồng nghĩa với từ 'đất nước'?,lịch sử | lười biếng | độc ác | phá hoại,lịch sử,'lịch sử' và 'đất nước' có nghĩa gần giống nhau.
Lớp 4,Tiếng Việt,Học kỳ 1,3. Niềm vui sáng tạo,Trắc nghiệm,Từ nào đồng nghĩa với từ 'ngôi nhà chung'?,gia đình | lười biếng | độc ác | phá hoại,gia đình,'gia đình' và 'ngôi nhà chung' có nghĩa gần giống nhau.
Lớp 4,Tiếng Việt,Học kỳ 1,3. Niềm vui sáng tạo,Trắc nghiệm,Câu tục ngữ 'Có công mài sắt có ngày nên kim' khuyên chúng ta điều gì?,"Kiên trì, nhẫn nại | Lười biếng | Ích kỷ | Vô ơn","Kiên trì, nhẫn nại","Ý nghĩa: Kiên trì, nhẫn nại."
Lớp 4,Tiếng Việt,Học kỳ 1,3. Niềm vui sáng tạo,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 4,Tiếng Việt,Học kỳ 1,4. Chắp cánh ước mơ,Đúng/Sai,"Từ 'biển cả' là một từ ghép, đúng hay sai?",,Đúng,Từ ghép gồm các tiếng có nghĩa.
Lớp 4,Tiếng Việt,Học kỳ 2,6. Uống nước nhớ nguồn,Trắc nghiệm,Từ nào đồng nghĩa với từ 'quê hương'?,đất nước | lười biếng | độc ác | phá hoại,đất nước,'đất nước' và 'quê hương' có nghĩa gần giống nhau.
Lớp 4,Tiếng Việt,Học kỳ 2,5. Sống để yêu thương,Đúng/Sai,"Từ 'tự hào' là một từ ghép, đúng hay sai?",,Đúng,Từ ghép gồm các tiếng có nghĩa.
Lớp 4,Tiếng Việt,Học kỳ 2,5. Sống để yêu thương,Trắc nghiệm,Từ nào đồng nghĩa với từ 'chim chóc'?,bầu trời | lười biếng | độc ác | phá hoại,bầu trời,'bầu trời' và 'chim chóc' có nghĩa gần giống nhau.
Lớp 4,Tiếng Việt,Học kỳ 1,2. Trải nghiệm và khám phá,Đúng/Sai,"Từ 'quê hương' là một từ ghép, đúng hay sai?",,Đúng,Từ ghép gồm các tiếng có nghĩa.
Lớp 4,Tiếng Việt,Học kỳ 2,6. Uống nước nhớ nguồn,Trắc nghiệm,Câu tục ngữ 'Có công mài sắt có ngày nên kim' khuyên chúng ta điều gì?,"Kiên trì, nhẫn nại | Lười biếng | Ích kỷ | Vô ơn","Kiên trì, nhẫn nại","Ý nghĩa: Kiên trì, nhẫn nại."
Lớp 4,Tiếng Việt,Học kỳ 2,8. Vì một thế giới bình yên,Trắc nghiệm,Từ nào đồng nghĩa với từ 'ông bà'?,cha mẹ | lười biếng | độc ác | phá hoại,cha mẹ,'cha mẹ' và 'ông bà' có nghĩa gần giống nhau.
Lớp 4,Tiếng Việt,Học kỳ 1,3. Niềm vui sáng tạo,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
