Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 3,Toán,Học kỳ 1,"2. Bảng nhân, bảng chia",So sánh,"Điền dấu thích hợp (<, >, =): 927 - 785 ___ 995 + 785",,<,927 - 785 = 142; 995 + 785 = 1780. Nên dấu là <.
Lớp 3,Toán,Học kỳ 2,13. Xem đồng hồ. Tháng - năm. Tiền Việt Nam,So sánh,"Điền dấu thích hợp (<, >, =): 614 - 352 ___ 191 + 864",,<,614 - 352 = 262; 191 + 864 = 1055. Nên dấu là <.
Lớp 3,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Chuỗi Quy luật,"9, 12, 15, ___, 21",,18,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 3,Toán,Học kỳ 2,"14. Nhân, chia trong phạm vi 100 000",Chuỗi Quy luật,"18, 23, 28, ___, 38",,33,Quy luật: cộng thêm 5 vào số liền trước.
Lớp 3,Toán,Học kỳ 2,"12. Cộng, trừ trong phạm vi 100 000",Kéo thả,150 + 515 = ___,665 | 666 | 664,665,Kéo số 665 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,13. Xem đồng hồ. Tháng - năm. Tiền Việt Nam,Kéo thả,423 - 2 = ___,421 | 422 | 420,421,Kéo số 421 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,16. Ôn tập cuối năm,Kéo thả,376 - 366 = ___,10 | 11 | 9,10,Kéo số 10 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,"14. Nhân, chia trong phạm vi 100 000",Đúng/Sai,"Phép tính 761 - 686 = 76, đúng hay sai?",,Sai,Phép tính chính xác là 761 - 686 = 75.
Lớp 3,Toán,Học kỳ 2,"14. Nhân, chia trong phạm vi 100 000",Chuỗi Quy luật,"19, 22, 25, ___, 31",,28,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 3,Toán,Học kỳ 2,"12. Cộng, trừ trong phạm vi 100 000",Kéo thả,643 + 1190 = ___,1833 | 1834 | 1832,1833,Kéo số 1833 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,8. Các số đến 10 000,Kéo thả,944 - 895 = ___,49 | 50 | 48,49,Kéo số 49 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,11. Các số đến 100 000,Đúng/Sai,"Phép tính 1291 - 155 = 1136, đúng hay sai?",,Đúng,Phép tính chính xác là 1291 - 155 = 1136.
Lớp 3,Toán,Học kỳ 1,7. Ôn tập Học kì 1,Điền khuyết,1890 + ___ = 3151,,1261,Số cần điền là 1261 vì 1890 + 1261 = 3151.
Lớp 3,Toán,Học kỳ 2,"15. Làm quen với yếu tố Thống kê, Xác suất",Trắc nghiệm,Kết quả của phép tính 1382 - 195 là bao nhiêu?,1192 | 1187 | 1197 | 1183,1187,Ta có: 1382 - 195 = 1187.
Lớp 3,Toán,Học kỳ 1,"6. Phép nhân, phép chia trong phạm vi 1 000",Đúng/Sai,"Phép tính 773 + 1046 = 1821, đúng hay sai?",,Sai,Phép tính chính xác là 773 + 1046 = 1819.
Lớp 3,Toán,Học kỳ 2,"15. Làm quen với yếu tố Thống kê, Xác suất",So sánh,"Điền dấu thích hợp (<, >, =): 300 + 816 ___ 291 + 459",,>,300 + 816 = 1116; 291 + 459 = 750. Nên dấu là >.
Lớp 3,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Đúng/Sai,"Phép tính 75 - 39 = 41, đúng hay sai?",,Sai,Phép tính chính xác là 75 - 39 = 36.
Lớp 3,Toán,Học kỳ 1,"5. Một số đơn vị đo độ dài, khối lượng, dung tích, nhiệt độ",Kéo thả,541 - 368 = ___,173 | 174 | 172,173,Kéo số 173 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,"10. Cộng, trừ, nhân, chia trong phạm vi 10 000",Trắc nghiệm,Kết quả của phép tính 1582 - 384 là bao nhiêu?,1200 | 1193 | 1198 | 1208,1198,Ta có: 1582 - 384 = 1198.
Lớp 3,Toán,Học kỳ 2,"9. Chu vi, diện tích một số hình phẳng",Kéo thả,1420 - 1038 = ___,382 | 383 | 381,382,Kéo số 382 vào chỗ trống.
Lớp 3,Toán,Học kỳ 1,"4. Phép nhân, phép chia trong phạm vi 100",Điền khuyết,630 - ___ = 508,,122,Số cần điền là 122 vì 630 - 122 = 508.
Lớp 3,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Kéo thả,886 + 553 = ___,1439 | 1440 | 1438,1439,Kéo số 1439 vào chỗ trống.
Lớp 3,Toán,Học kỳ 1,"5. Một số đơn vị đo độ dài, khối lượng, dung tích, nhiệt độ",Kéo thả,1905 + 879 = ___,2784 | 2785 | 2783,2784,Kéo số 2784 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,"15. Làm quen với yếu tố Thống kê, Xác suất",So sánh,"Điền dấu thích hợp (<, >, =): 359 + 1136 ___ 925 + 539",,>,359 + 1136 = 1495; 925 + 539 = 1464. Nên dấu là >.
Lớp 3,Toán,Học kỳ 1,7. Ôn tập Học kì 1,Đúng/Sai,"Phép tính 271 - 197 = 74, đúng hay sai?",,Đúng,Phép tính chính xác là 271 - 197 = 74.
Lớp 3,Toán,Học kỳ 1,"2. Bảng nhân, bảng chia",Kéo thả,214 + 1587 = ___,1801 | 1802 | 1800,1801,Kéo số 1801 vào chỗ trống.
Lớp 3,Toán,Học kỳ 1,"3. Làm quen với hình phẳng, hình khối",Trắc nghiệm,Kết quả của phép tính 757 - 134 là bao nhiêu?,633 | 628 | 621 | 623,623,Ta có: 757 - 134 = 623.
Lớp 3,Toán,Học kỳ 2,"14. Nhân, chia trong phạm vi 100 000",Điền khuyết,1201 - ___ = 726,,475,Số cần điền là 475 vì 1201 - 475 = 726.
Lớp 3,Toán,Học kỳ 2,8. Các số đến 10 000,Trắc nghiệm,Kết quả của phép tính 941 - 358 là bao nhiêu?,593 | 588 | 582 | 583,583,Ta có: 941 - 358 = 583.
Lớp 3,Toán,Học kỳ 2,"10. Cộng, trừ, nhân, chia trong phạm vi 10 000",Đúng/Sai,"Phép tính 567 - 286 = 285, đúng hay sai?",,Sai,Phép tính chính xác là 567 - 286 = 281.
Lớp 3,Toán,Học kỳ 2,"9. Chu vi, diện tích một số hình phẳng",So sánh,"Điền dấu thích hợp (<, >, =): 1014 - 961 ___ 648 + 338",,<,1014 - 961 = 53; 648 + 338 = 986. Nên dấu là <.
Lớp 3,Toán,Học kỳ 2,11. Các số đến 100 000,So sánh,"Điền dấu thích hợp (<, >, =): 322 + 18 ___ 751 + 362",,<,322 + 18 = 340; 751 + 362 = 1113. Nên dấu là <.
Lớp 3,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Chuỗi Quy luật,"14, 18, 22, ___, 30",,26,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 3,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Chuỗi Quy luật,"12, 15, 18, ___, 24",,21,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 3,Toán,Học kỳ 2,11. Các số đến 100 000,So sánh,"Điền dấu thích hợp (<, >, =): 131 + 105 ___ 74 + 268",,<,131 + 105 = 236; 74 + 268 = 342. Nên dấu là <.
Lớp 3,Toán,Học kỳ 1,"3. Làm quen với hình phẳng, hình khối",Kéo thả,1724 - 526 = ___,1198 | 1199 | 1197,1198,Kéo số 1198 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,"14. Nhân, chia trong phạm vi 100 000",Kéo thả,36 + 373 = ___,409 | 410 | 408,409,Kéo số 409 vào chỗ trống.
Lớp 3,Toán,Học kỳ 2,13. Xem đồng hồ. Tháng - năm. Tiền Việt Nam,Điền khuyết,718 + ___ = 1131,,413,Số cần điền là 413 vì 718 + 413 = 1131.
Lớp 3,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Trắc nghiệm,Kết quả của phép tính 460 - 84 là bao nhiêu?,376 | 386 | 379 | 373,376,Ta có: 460 - 84 = 376.
Lớp 3,Toán,Học kỳ 2,11. Các số đến 100 000,Trắc nghiệm,Kết quả của phép tính 986 - 83 là bao nhiêu?,904 | 913 | 899 | 903,903,Ta có: 986 - 83 = 903.
