Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 2,Tiếng Việt,Học kỳ 2,7. Giao tiếp và kết nối,Trắc nghiệm,"Trong câu: 'Mùa xuân, con người thật đẹp.', từ 'con người' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'con người' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 2,Tiếng Việt,Học kỳ 1,2. Đi học vui sao,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 2,Tiếng Việt,Học kỳ 2,7. Giao tiếp và kết nối,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,chim chóc | chim chóc | chim chóc | chim chóc x,chim chóc,'chim chóc' là cách viết đúng chính tả.
Lớp 2,Tiếng Việt,Học kỳ 2,5. Vẻ đẹp quanh em,Kéo thả,Kéo từ 'học tập' vào ô thích hợp: Em rất yêu ___ của mình.,học tập | cục đá | bão táp,học tập,Phù hợp ngữ cảnh.
Lớp 2,Tiếng Việt,Học kỳ 1,3. Niềm vui tuổi thơ,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,núi non | núi non | núi non | núi non x,núi non,'núi non' là cách viết đúng chính tả.
Lớp 2,Tiếng Việt,Học kỳ 1,2. Đi học vui sao,Trắc nghiệm,"Trong câu: 'Mùa xuân, chăm chỉ thật đẹp.', từ 'chăm chỉ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chăm chỉ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 2,Tiếng Việt,Học kỳ 2,7. Giao tiếp và kết nối,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 2,Tiếng Việt,Học kỳ 2,7. Giao tiếp và kết nối,Trắc nghiệm,Từ nào sau đây viết đúng chính tả?,phát triển | phát chiển | phát tdiển | phát triển x,phát triển,'phát triển' là cách viết đúng chính tả.
Lớp 2,Tiếng Việt,Học kỳ 1,1. Em lớn lên từng ngày,Trắc nghiệm,"Trong câu: 'Mùa xuân, yêu thương thật đẹp.', từ 'yêu thương' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'yêu thương' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 2,Tiếng Việt,Học kỳ 2,8. Con người Việt Nam,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong đất nước luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 2,Tiếng Việt,Học kỳ 2,6. Hành tinh xanh của em,Trắc nghiệm,"Trong câu: 'Mùa xuân, mát mẻ thật đẹp.', từ 'mát mẻ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'mát mẻ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 2,Tiếng Việt,Học kỳ 2,5. Vẻ đẹp quanh em,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong anh chị em luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 2,Tiếng Việt,Học kỳ 1,4. Mái ấm gia đình,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 2,Tiếng Việt,Học kỳ 2,6. Hành tinh xanh của em,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 2,Tiếng Việt,Học kỳ 1,3. Niềm vui tuổi thơ,Kéo thả,Kéo từ 'ông bà' vào ô thích hợp: Em rất yêu ___ của mình.,ông bà | cục đá | bão táp,ông bà,Phù hợp ngữ cảnh.
Lớp 2,Tiếng Việt,Học kỳ 1,1. Em lớn lên từng ngày,Kéo thả,Kéo từ 'bạn bè' vào ô thích hợp: Em rất yêu ___ của mình.,bạn bè | cục đá | bão táp,bạn bè,Phù hợp ngữ cảnh.
Lớp 2,Tiếng Việt,Học kỳ 1,3. Niềm vui tuổi thơ,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
