Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 4,Toán,Học kỳ 2,13. Ôn tập cuối năm,So sánh,"Điền dấu thích hợp (<, >, =): 20000 - 7368 ___ 6703 + 3226",,>,20000 - 7368 = 12632; 6703 + 3226 = 9929. Nên dấu là >.
Lớp 4,Toán,Học kỳ 2,"11. Phép cộng, phép trừ Phân số",Điền khuyết,3906 + ___ = 15166,,11260,Số cần điền là 11260 vì 3906 + 11260 = 15166.
Lớp 4,Toán,Học kỳ 1,7. Ôn tập Học kì 1,Kéo thả,4413 + 8349 = ___,12762 | 12763 | 12761,12762,Kéo số 12762 vào chỗ trống.
Lớp 4,Toán,Học kỳ 1,6. Đường thẳng vuông góc. Đường thẳng song song,Chuỗi Quy luật,"17, 20, 23, ___, 29",,26,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 4,Toán,Học kỳ 1,2. Góc và đơn vị đo góc,Điền khuyết,625 + ___ = 11126,,10501,Số cần điền là 10501 vì 625 + 10501 = 11126.
Lớp 4,Toán,Học kỳ 2,"12. Phép nhân, phép chia Phân số",So sánh,"Điền dấu thích hợp (<, >, =): 5828 + 8444 ___ 2311 + 9259",,>,5828 + 8444 = 14272; 2311 + 9259 = 11570. Nên dấu là >.
Lớp 4,Toán,Học kỳ 1,2. Góc và đơn vị đo góc,So sánh,"Điền dấu thích hợp (<, >, =): 12065 + 15549 ___ 16723 + 15661",,<,12065 + 15549 = 27614; 16723 + 15661 = 32384. Nên dấu là <.
Lớp 4,Toán,Học kỳ 2,"11. Phép cộng, phép trừ Phân số",Đúng/Sai,"Phép tính 2466 + 9991 = 12460, đúng hay sai?",,Sai,Phép tính chính xác là 2466 + 9991 = 12457.
Lớp 4,Toán,Học kỳ 2,8. Phép nhân và phép chia,So sánh,"Điền dấu thích hợp (<, >, =): 18433 + 17120 ___ 13252 + 1633",,>,18433 + 17120 = 35553; 13252 + 1633 = 14885. Nên dấu là >.
Lớp 4,Toán,Học kỳ 1,3. Số có nhiều chữ số,Đúng/Sai,"Phép tính 5647 + 9142 = 14794, đúng hay sai?",,Sai,Phép tính chính xác là 5647 + 9142 = 14789.
Lớp 4,Toán,Học kỳ 1,5. Phép cộng và phép trừ,Đúng/Sai,"Phép tính 2223 - 970 = 1253, đúng hay sai?",,Đúng,Phép tính chính xác là 2223 - 970 = 1253.
