Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 2,Toán,Học kỳ 1,5. Làm quen với hình phẳng,Trắc nghiệm,Kết quả của phép tính 51 - 41 là bao nhiêu?,10 | 11 | 20 | 6,10,Ta có: 51 - 41 = 10.
Lớp 2,Toán,Học kỳ 2,"12. Phép cộng, phép trừ trong phạm vi 1 000",Kéo thả,65 + 11 = ___,76 | 77 | 75,76,Kéo số 76 vào chỗ trống.
Lớp 2,Toán,Học kỳ 2,14. Ôn tập cuối năm,Đúng/Sai,"Phép tính 184 + 23 = 208, đúng hay sai?",,Sai,Phép tính chính xác là 184 + 23 = 207.
Lớp 2,Toán,Học kỳ 2,9. Làm quen với hình khối,Trắc nghiệm,Kết quả của phép tính 189 - 40 là bao nhiêu?,151 | 146 | 149 | 159,149,Ta có: 189 - 40 = 149.
Lớp 2,Toán,Học kỳ 1,"2. Phép cộng, phép trừ trong phạm vi 20",Đúng/Sai,"Phép tính 90 + 87 = 178, đúng hay sai?",,Sai,Phép tính chính xác là 90 + 87 = 177.
Lớp 2,Toán,Học kỳ 2,"12. Phép cộng, phép trừ trong phạm vi 1 000",So sánh,"Điền dấu thích hợp (<, >, =): 123 + 121 ___ 111 + 37",,>,123 + 121 = 244; 111 + 37 = 148. Nên dấu là >.
Lớp 2,Toán,Học kỳ 1,"6. Ngày - Giờ, Giờ - Phút, Ngày - Tháng",So sánh,"Điền dấu thích hợp (<, >, =): 58 - 22 ___ 77 + 36",,<,58 - 22 = 36; 77 + 36 = 113. Nên dấu là <.
Lớp 2,Toán,Học kỳ 1,"4. Phép cộng, phép trừ (có nhớ) trong phạm vi 100",Kéo thả,52 - 21 = ___,31 | 32 | 30,31,Kéo số 31 vào chỗ trống.
Lớp 2,Toán,Học kỳ 1,"6. Ngày - Giờ, Giờ - Phút, Ngày - Tháng",Điền khuyết,49 - ___ = 43,,6,Số cần điền là 6 vì 49 - 6 = 43.
Lớp 2,Toán,Học kỳ 2,"13. Làm quen với yếu tố thống kê, xác suất",So sánh,"Điền dấu thích hợp (<, >, =): 18 + 26 ___ 27 + 54",,<,18 + 26 = 44; 27 + 54 = 81. Nên dấu là <.
Lớp 2,Toán,Học kỳ 1,"2. Phép cộng, phép trừ trong phạm vi 20",So sánh,"Điền dấu thích hợp (<, >, =): 148 + 46 ___ 182 + 199",,<,148 + 46 = 194; 182 + 199 = 381. Nên dấu là <.
Lớp 2,Toán,Học kỳ 2,"12. Phép cộng, phép trừ trong phạm vi 1 000",So sánh,"Điền dấu thích hợp (<, >, =): 75 + 8 ___ 28 + 64",,<,75 + 8 = 83; 28 + 64 = 92. Nên dấu là <.
Lớp 2,Toán,Học kỳ 1,"2. Phép cộng, phép trừ trong phạm vi 20",So sánh,"Điền dấu thích hợp (<, >, =): 77 + 20 ___ 42 + 17",,>,77 + 20 = 97; 42 + 17 = 59. Nên dấu là >.
Lớp 2,Toán,Học kỳ 2,10. Các số trong phạm vi 1 000,Điền khuyết,64 + ___ = 164,,100,Số cần điền là 100 vì 64 + 100 = 164.
