Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Trắc nghiệm,Từ nào đồng nghĩa với từ 'tiến bộ'?,chăm chỉ | lười biếng | độc ác | phá hoại,chăm chỉ,'chăm chỉ' và 'tiến bộ' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ông bà luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong ông bà luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong đùm bọc luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Trắc nghiệm,"Trong câu: 'Mùa xuân, núi non thật đẹp.', từ 'núi non' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'núi non' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Kéo thả,Kéo từ 'chim chóc' vào ô thích hợp: Em rất yêu ___ của mình.,chim chóc | cục đá | bão táp,chim chóc,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Kéo thả,Kéo từ 'con người' vào ô thích hợp: Em rất yêu ___ của mình.,con người | cục đá | bão táp,con người,Phù hợp ngữ cảnh.
